Contrat;Date et heure;Puissance réelle (kW);Code de puissance réelle;90 % de la puissance apparente (kVA);Code de puissance apparente
0300164754;2025-11-12 23:45:00;47,0;R;51,9;R
0300164754;2025-11-12 23:30:00;55,5;R;63,2;R
0300164754;2025-11-12 23:15:00;55,0;R;62,6;R
0300164754;2025-11-12 23:00:00;37,8;R;40,1;R
0300164754;2025-11-12 22:45:00;58,8;R;66,7;R
0300164754;2025-11-12 22:30:00;59,0;R;66,3;R
0300164754;2025-11-12 22:15:00;60,5;R;67,6;R
0300164754;2025-11-12 22:00:00;50,9;R;55,8;R
0300164754;2025-11-12 21:45:00;44,2;R;47,6;R
0300164754;2025-11-12 21:30:00;62,8;R;71,5;R
0300164754;2025-11-12 21:15:00;62,0;R;71,2;R
0300164754;2025-11-12 21:00:00;53,0;R;59,0;R
0300164754;2025-11-12 20:45:00;47,6;R;52,6;R
0300164754;2025-11-12 20:30:00;57,1;R;65,1;R
0300164754;2025-11-12 20:15:00;58,6;R;67,1;R
0300164754;2025-11-12 20:00:00;59,0;R;67,2;R
0300164754;2025-11-12 19:45:00;56,7;R;63,1;R
0300164754;2025-11-12 19:30:00;66,3;R;74,5;R
0300164754;2025-11-12 19:15:00;67,3;R;75,1;R
0300164754;2025-11-12 19:00:00;64,0;R;69,9;R
0300164754;2025-11-12 18:45:00;47,8;R;48,8;R
0300164754;2025-11-12 18:30:00;78,4;R;82,3;R
0300164754;2025-11-12 18:15:00;76,3;R;80,8;R
0300164754;2025-11-12 18:00:00;56,7;R;57,9;R
0300164754;2025-11-12 17:45:00;60,1;R;64,0;R
0300164754;2025-11-12 17:30:00;69,4;R;76,1;R
0300164754;2025-11-12 17:15:00;67,1;R;74,2;R
0300164754;2025-11-12 17:00:00;69,0;R;73,6;R
0300164754;2025-11-12 16:45:00;57,3;R;58,5;R
0300164754;2025-11-12 16:30:00;73,1;R;78,0;R
0300164754;2025-11-12 16:15:00;78,1;R;83,5;R
0300164754;2025-11-12 16:00:00;77,6;R;83,6;R
0300164754;2025-11-12 15:45:00;63,1;R;65,0;R
0300164754;2025-11-12 15:30:00;70,6;R;74,1;R
0300164754;2025-11-12 15:15:00;78,0;R;84,3;R
0300164754;2025-11-12 15:00:00;85,3;R;90,2;R
0300164754;2025-11-12 14:45:00;76,7;R;79,5;R
0300164754;2025-11-12 14:30:00;71,8;R;76,0;R
0300164754;2025-11-12 14:15:00;78,9;R;83,8;R
0300164754;2025-11-12 14:00:00;79,6;R;84,0;R
0300164754;2025-11-12 13:45:00;66,1;R;66,3;R
0300164754;2025-11-12 13:30:00;82,8;R;85,7;R
0300164754;2025-11-12 13:15:00;83,7;R;86,5;R
0300164754;2025-11-12 13:00:00;83,8;R;86,5;R
0300164754;2025-11-12 12:45:00;77,0;R;78,2;R
0300164754;2025-11-12 12:30:00;94,1;R;100,5;R
0300164754;2025-11-12 12:15:00;94,1;R;100,3;R
0300164754;2025-11-12 12:00:00;90,0;R;94,4;R
0300164754;2025-11-12 11:45:00;76,7;R;76,2;R
0300164754;2025-11-12 11:30:00;93,8;R;96,3;R
0300164754;2025-11-12 11:15:00;99,8;R;102,5;R
0300164754;2025-11-12 11:00:00;87,1;R;90,1;R
0300164754;2025-11-12 10:45:00;87,1;R;86,8;R
0300164754;2025-11-12 10:30:00;94,8;R;96,8;R
0300164754;2025-11-12 10:15:00;94,6;R;96,4;R
0300164754;2025-11-12 10:00:00;88,6;R;91,3;R
0300164754;2025-11-12 09:45:00;69,5;R;69,5;R
0300164754;2025-11-12 09:30:00;80,2;R;84,4;R
0300164754;2025-11-12 09:15:00;77,9;R;82,6;R
0300164754;2025-11-12 09:00:00;61,2;R;61,4;R
0300164754;2025-11-12 08:45:00;83,5;R;86,7;R
0300164754;2025-11-12 08:30:00;86,5;R;91,4;R
0300164754;2025-11-12 08:15:00;63,5;R;68,2;R
0300164754;2025-11-12 08:00:00;62,2;R;67,5;R
0300164754;2025-11-12 07:45:00;71,0;R;78,2;R
0300164754;2025-11-12 07:30:00;71,4;R;78,1;R
0300164754;2025-11-12 07:15:00;65,3;R;68,1;R
0300164754;2025-11-12 07:00:00;77,4;R;85,6;R
0300164754;2025-11-12 06:45:00;80,7;R;89,8;R
0300164754;2025-11-12 06:30:00;68,6;R;74,8;R
0300164754;2025-11-12 06:15:00;58,2;R;61,5;R
0300164754;2025-11-12 06:00:00;67,8;R;74,5;R
0300164754;2025-11-12 05:45:00;57,6;R;62,9;R
0300164754;2025-11-12 05:30:00;48,2;R;52,2;R
0300164754;2025-11-12 05:15:00;58,0;R;64,8;R
0300164754;2025-11-12 05:00:00;57,8;R;64,8;R
0300164754;2025-11-12 04:45:00;46,3;R;50,4;R
0300164754;2025-11-12 04:30:00;60,8;R;69,0;R
0300164754;2025-11-12 04:15:00;61,7;R;69,7;R
0300164754;2025-11-12 04:00:00;58,8;R;66,1;R
0300164754;2025-11-12 03:45:00;36,2;R;38,0;R
0300164754;2025-11-12 03:30:00;50,6;R;59,8;R
0300164754;2025-11-12 03:15:00;56,3;R;65,7;R
0300164754;2025-11-12 03:00:00;57,6;R;67,1;R
0300164754;2025-11-12 02:45:00;50,5;R;57,7;R
0300164754;2025-11-12 02:30:00;48,9;R;54,9;R
0300164754;2025-11-12 02:15:00;56,1;R;65,5;R
0300164754;2025-11-12 02:00:00;51,4;R;61,6;R
0300164754;2025-11-12 01:45:00;38,8;R;41,7;R
0300164754;2025-11-12 01:30:00;53,6;R;62,5;R
0300164754;2025-11-12 01:15:00;53,7;R;62,7;R
0300164754;2025-11-12 01:00:00;52,8;R;61,4;R
0300164754;2025-11-12 00:45:00;42,1;R;47,3;R
0300164754;2025-11-12 00:30:00;58,0;R;67,9;R
0300164754;2025-11-12 00:15:00;56,3;R;65,7;R
0300164754;2025-11-12 00:00:00;46,5;R;49,4;R
0300164754;2025-11-11 23:45:00;57,3;R;66,7;R
0300164754;2025-11-11 23:30:00;55,0;R;64,9;R
0300164754;2025-11-11 23:15:00;45,6;R;51,7;R
0300164754;2025-11-11 23:00:00;49,2;R;55,7;R
0300164754;2025-11-11 22:45:00;58,4;R;68,6;R
0300164754;2025-11-11 22:30:00;59,8;R;68,9;R
0300164754;2025-11-11 22:15:00;57,8;R;66,4;R
0300164754;2025-11-11 22:00:00;39,1;R;42,0;R
0300164754;2025-11-11 21:45:00;47,9;R;54,0;R
0300164754;2025-11-11 21:30:00;53,7;R;62,0;R
0300164754;2025-11-11 21:15:00;44,6;R;50,1;R
0300164754;2025-11-11 21:00:00;48,0;R;53,8;R
0300164754;2025-11-11 20:45:00;57,6;R;65,6;R
0300164754;2025-11-11 20:30:00;56,5;R;65,5;R
0300164754;2025-11-11 20:15:00;56,7;R;65,9;R
0300164754;2025-11-11 20:00:00;48,8;R;55,2;R
0300164754;2025-11-11 19:45:00;61,7;R;70,5;R
0300164754;2025-11-11 19:30:00;61,2;R;69,9;R
0300164754;2025-11-11 19:15:00;63,4;R;71,4;R
0300164754;2025-11-11 19:00:00;47,1;R;48,6;R
0300164754;2025-11-11 18:45:00;58,5;R;63,0;R
0300164754;2025-11-11 18:30:00;61,7;R;69,0;R
0300164754;2025-11-11 18:15:00;56,7;R;60,1;R
0300164754;2025-11-11 18:00:00;57,3;R;59,5;R
0300164754;2025-11-11 17:45:00;62,7;R;68,1;R
0300164754;2025-11-11 17:30:00;64,2;R;70,3;R
