Contrat;Tarif;Date de début;Date de fin;Jour;Date et heure de la dernière relève;kWh;Montant ($);Code de relève;Moyenne $/j;Moyenne ¢/kWh;Puissance facturée;Puissance réelle (kW);Date et heure de la mesure de la puissance maximale réelle;90 % de la puissance apparente (kVA);Date et heure de la mesure de la puissance apparente maximale;Puissance à facturer minimale (PFM);Période de mesure de la puissance à facturer minimale (PFM);Facteur de puissance ou FP (%);Facteur d?utilisation ou FU (%);Température moyenne (°C)
0300164754;M;2026-02-13;2026-03-12;13;2026-02-25 23:59:00;21420;3055,51;R;235,04;14,26;178,5;162,9;2026-02-22 09:30:00;178,5;2026-02-22 09:30:00;120,8;du 2026-02-13 au 2026-02-25;82,1;38,5;-8
0300164754;M;2026-01-13;2026-02-12;31;;56700;7830,36;R;252,59;13,81;185,8;168,8;2026-02-08 10:15:00;185,8;2026-02-09 10:00:00;120,8;du 2026-01-13 au 2026-02-12;81,8;41,0;-12
0300164754;M;2025-12-13;2026-01-12;31;;52020;7412,36;R;239,11;14,25;181,4;172,6;2026-01-05 10:45:00;181,4;2026-01-05 10:45:00;117,9;du 2025-12-13 au 2026-01-12;85,6;38,5;-9
0300164754;M;2025-11-13;2025-12-12;30;;49140;7299,62;R;243,32;14,85;191,8;177,6;2025-11-28 10:45:00;191,8;2025-11-28 10:45:00;117,3;du 2024-12-13 au 2025-01-12;83,3;35,6;-5
0300164754;M;2025-10-13;2025-11-12;31;;50400;7572,97;R;244,29;15,03;194,5;177,4;2025-10-13 10:45:00;194,5;2025-10-13 10:45:00;117,3;du 2024-12-13 au 2025-01-12;82,1;34,8;5
0300164754;M;2025-09-13;2025-10-12;30;;52380;7446,61;R;248,22;14,22;187,9;165,0;2025-09-28 09:45:00;187,9;2025-10-03 10:00:00;117,3;du 2024-12-13 au 2025-01-12;79,0;38,7;13
0300164754;M;2025-08-13;2025-09-12;31;;55620;8055,75;R;259,86;14,48;200,2;185,0;2025-08-15 09:45:00;200,2;2025-08-15 09:45:00;117,3;du 2024-12-13 au 2025-01-12;83,2;37,3;17
0300164754;M;2025-07-13;2025-08-12;31;;65520;8954,42;R;288,85;13,67;210,2;198,5;2025-07-16 14:00:00;210,2;2025-07-13 10:45:00;117,3;du 2024-12-13 au 2025-01-12;85,0;41,9;21
0300164754;M;2025-06-13;2025-07-12;30;;62100;8552,29;R;285,08;13,77;209,1;196,0;2025-06-24 14:30:00;209,1;2025-07-04 09:30:00;117,3;du 2024-12-13 au 2025-01-12;84,4;41,2;19
0300164754;M;2025-05-13;2025-06-12;31;;57600;8231,30;R;265,53;14,29;202,0;179,4;2025-05-13 10:00:00;202,0;2025-05-13 10:00:00;117,3;du 2024-12-13 au 2025-01-12;79,9;38,3;14
